# unity_version,6000.0.58f1
# game_version,1.0
# warmup_count,10
# measurement_count,100
# target_size_bytes,10485760
# dataset_count,86
# input_size_bytes,10608620
# memorypack_payload_size_bytes,10608620
# json_payload_size_bytes,77338533
# json_utility_compatible,True
# includes_reflection_overhead,False
# gc_alloc_source,Unity Profiler GC.Alloc sample block count
implementation,phase,iteration,elapsed_ms,gc_alloc_count
CurrentMemoryPack,Serialize,79,87.355500,0
CurrentMemoryPack,Serialize,80,86.021300,0
CurrentMemoryPack,Serialize,81,92.444400,0
CurrentMemoryPack,Serialize,82,94.532900,0
CurrentMemoryPack,Serialize,83,100.300400,0
CurrentMemoryPack,Serialize,84,94.809500,0
CurrentMemoryPack,Serialize,85,86.400400,0
CurrentMemoryPack,Serialize,86,98.274400,0
CurrentMemoryPack,Serialize,87,88.210000,0
CurrentMemoryPack,Serialize,88,88.806200,0
CurrentMemoryPack,Serialize,89,84.696400,0
CurrentMemoryPack,Serialize,90,100.991700,0
CurrentMemoryPack,Serialize,91,102.019400,0
CurrentMemoryPack,Serialize,92,90.385400,0
CurrentMemoryPack,Serialize,93,103.749000,0
CurrentMemoryPack,Serialize,94,88.558800,0
CurrentMemoryPack,Serialize,95,91.129100,0
CurrentMemoryPack,Serialize,96,95.179400,0
CurrentMemoryPack,Serialize,97,90.407900,0
CurrentMemoryPack,Serialize,98,85.330800,0
CurrentMemoryPack,Serialize,99,94.895800,0
